"COUNTY
FACILITIES","DESIGN
CAPACITY",TOTAL POPULATION HOC,TOTAL POPULATION JAIL,"TOTAL
OCCUPANCY","PERCENT
OCCUPIED",Date
DUKES,19,22,0,22,116%,11/27/17
ESSEX,,,,,,11/27/17
Middleton,1291,401,799,1200,93%,11/27/17
WIT,23,29,NA,29,126%,11/27/17
L.C.A.C.,340,237,NA,237,70%,11/27/17
FRANKLIN,144,83,130,213,148%,11/27/17
HAMPDEN,,,,,,11/27/17
HOC / JAIL,1178,408,439,847,72%,11/27/17
W.M.C.A.C.,148,117,NA,117,79%,11/27/17
Women's Center,306,100,134,234,76%,11/27/17
HAMPSHIRE,287,143,95,238,83%,11/27/17
MIDDLESEX,1501,416,502,918,61%,11/27/17
NORFOLK,620,183,255,438,71%,11/27/17
PLYMOUTH,1140,372,686,1058,93%,11/27/17
"SUFFOLK
Nashua Street",453,NA,628,628,139%,11/27/17
South Bay,1796,1055,NA,1055,59%,11/27/17
WORCESTER HOC/JAIL,822,428,596,1024,125%,11/27/17
TOTAL,11226,4753,5238,9991,89%,11/27/17
